date,value
2005-07-01,353
2005-08-01,318
2005-09-01,325
2005-10-01,361
2005-11-01,357
2005-12-01,431
2006-01-01,509
2006-02-01,281
2006-03-01,299
2006-04-01,320
2006-05-01,313
2006-06-01,327
2006-07-01,374
2006-08-01,356
2006-09-01,378
2006-10-01,392
2006-11-01,439
2006-12-01,581
2007-01-01,619
2007-02-01,345
2007-03-01,377
2007-04-01,373
2007-05-01,391
2007-06-01,405
2007-07-01,432
2007-08-01,456
2007-09-01,461
2007-10-01,467
2007-11-01,509
2007-12-01,718
2008-01-01,673
2008-02-01,384
2008-03-01,439
2008-04-01,408
2008-05-01,454
2008-06-01,465
2008-07-01,475
2008-08-01,535
2008-09-01,520
2008-10-01,530
2008-11-01,577
2008-12-01,620
2009-01-01,675
2009-02-01,422
2009-03-01,495
2009-04-01,482
2009-05-01,519
2009-06-01,517
2009-07-01,526
2009-08-01,586
2009-09-01,549
2009-10-01,612
2009-11-01,609
2009-12-01,742
2010-01-01,833
2010-02-01,507
2010-03-01,526
2010-04-01,560
2010-05-01,611
2010-06-01,569
2010-07-01,649
2010-08-01,630
2010-09-01,647
2010-10-01,683
2010-11-01,665
2010-12-01,861
2011-01-01,852
2011-02-01,528
2011-03-01,571
2011-04-01,621
2011-05-01,641
2011-06-01,667
2011-07-01,705
2011-08-01,670
2011-09-01,725
2011-10-01,782
2011-11-01,740
2011-12-01,1010
2012-01-01,880
2012-02-01,592
2012-03-01,653
2012-04-01,668
2012-05-01,706
2012-06-01,738
2012-07-01,781
2012-08-01,743
2012-09-01,828
2012-10-01,826
2012-11-01,860
2012-12-01,1056
2013-01-01,1039
2013-02-01,642
2013-03-01,806
2013-04-01,730
2013-05-01,794
2013-06-01,817
2013-07-01,872
2013-08-01,907
2013-09-01,918
2013-10-01,925
2013-11-01,993
2013-12-01,1153
2014-01-01,1251
2014-02-01,746
2014-03-01,859
2014-04-01,847
2014-05-01,939
2014-06-01,956
2014-07-01,1083
2014-08-01,1064
2014-09-01,991
2014-10-01,1171
2014-11-01,1134
2014-12-01,1208
2015-01-01,1450
2015-02-01,805
2015-03-01,1031
2015-04-01,975
2015-05-01,1085
2015-06-01,996
2015-07-01,1144
2015-08-01,1166
2015-09-01,1065
2015-10-01,1265
2015-11-01,1367
2015-12-01,1297
2016-01-01,1630
2016-02-01,905
2016-03-01,1000
2016-04-01,1079
2016-05-01,1211
2016-06-01,1095
2016-07-01,1284
2016-08-01,1220
2016-09-01,1285
2016-10-01,1354
2016-11-01,1329
2016-12-01,1513
2017-01-01,1683
2017-02-01,980
2017-03-01,1082
2017-04-01,1065
2017-05-01,1251
2017-06-01,1216
2017-07-01,1300
2017-08-01,1252
2017-09-01,1327
2017-10-01,1473
2017-11-01,1367
2017-12-01,1650
2018-01-01,1800
2018-02-01,1194
2018-03-01,1300
2018-04-01,1288
2018-05-01,1394
2018-06-01,1399
2018-07-01,1534
2018-08-01,1537
2018-09-01,1614
2018-10-01,1669
2018-11-01,1764
2018-12-01,1887
2019-01-01,2078
2019-02-01,1215
2019-03-01,1340
2019-04-01,1446
2019-05-01,1480
2019-06-01,1571
2019-07-01,1583
2019-08-01,1755
2019-09-01,1810
2019-10-01,1750
2019-11-01,1935
2019-12-01,2003
2020-01-01,2349
2020-02-01,1254
2020-03-01,1547
2020-04-01,1423
2020-05-01,1778
2020-06-01,1629
2020-07-01,1698
2020-08-01,1861
2020-09-01,1662
2020-10-01,2143
2020-11-01,2358
2020-12-01,2333
2021-01-01,2804
2021-02-01,1676
2021-03-01,1979
2021-04-01,1643
2021-05-01,2100
2021-06-01,2068
2021-07-01,2183
2021-08-01,2393
2021-09-01,2293
2021-10-01,2326
2021-11-01,2525
2021-12-01,2581
2022-01-01,2967
2022-02-01,2165
2022-03-01,1826
2022-04-01,2311
2022-05-01,2291
2022-06-01,1943
